"County","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070"
"CHEROKEE",56071.56295731,56584.54712647786,57102.22445460077,57624.63787817132,58151.83072649692,58683.84672529355,59220.73000031245,59762.52508099985,60309.276904190345,60861.03081783396,61417.83258475734,61979.72838645936,62546.764826941384,63118.988936572765,63696.448175991405,64279.19044004033,64867.26406174,65460.71781629717,66059.60092515024,66663.96306005183,67273.85434718848,67889.32537133821,68510.42718006605,69137.21128795794,69769.72968089338,70408.03482035718,71052.17964779068,71702.21758898266,72358.20255850066,73020.18896416252,73688.2317115491,74362.38620855816,75042.70836999995,75729.25462223477,76422.08190785308,77121.24769039825,77826.8099591327,78538.82723384764,79257.35856971654,79982.46356219338,80714.20235195546,81452.63562989152,82197.82464213547,82949.8311951462,83708.71766083386,84474.546981733,85247.38267622305,86027.28884379663,86814.33017037598,87608.571933678
"CHESTER",32230.72702472,32525.597576786473,32823.16582296358,33123.456443754214,33426.49434545679,33732.30466223096,34040.91275818231,34352.34422946601,34666.62490640983,34983.78085565646,35303.8383823256,35626.82403219561,35952.76459390528,36281.687101175754,36613.6188350526,36948.587326168636,37286.62035702728,37627.74596430685,37971.99244118596,38319.38833969017,38669.9624730601,39023.743918141234,39380.76201779556,39741.0463833353,40104.62689697887,40471.53371432935,40841.797266875605,41215.448264516264,41592.51769810689,41973.03684203029,42357.037256790514,42744.550791630434,43135.609587173414,43530.246078088996,43928.492995783134,44330.38337111286,44735.95053712599,45145.22813182571,45558.25010096058,45975.050700839995,46395.6645011754,46820.12638794761,47248.47156630016,47680.73556345934,48116.95423168081,48557.16375122316,49001.400633348836,49449.7017233523,49902.10420361605,50358.645596694565
"CHESTERFIELD",42678.360324,43068.813560142575,43462.83895155205,43860.46917894937,44261.73722204291,44666.67636226381,45075.32018552643,45487.70258501389,45903.857763989254,46323.820238632376,46747.62484090266,47175.30672142807,47606.90135242052,48042.44453061802,48481.972380253595,48925.52135605151,49373.12824625085,49824.83017565676,50280.66460871953,50740.669352642035,51204.8825605154,51673.34273448348,52146.08872893625,52623.15975373242,53104.5953774515,53590.43553067565,54080.72050930158,54575.490977882684,55074.7879730018,55578.65290667479,56087.127569785334,56600.254135551,57118.07516302122,57640.633600607085,58167.97278964358,58700.136467984274,59237.16877362902,59779.114248384765,60326.01784155989,60877.924913692324,61434.881240311755,61996.933015736344,62564.12685690404,63136.509807239054,63714.12934055372,64297.03336498588,64885.270226972534,65478.88871525968,66077.93806494884,66682.46796158077
"CLARENDON",30509.7080112,30788.833407215716,31070.512448997968,31354.76849918875,31641.62513416882,31931.106146013095,32223.23554446404,32518.037558923,32815.53664045981,33115.75746384082,33418.724929575386,33724.46416598118,34033.00053126831,34344.359615642585,34658.56724342792,34975.6494752083,35295.632609989225,35618.54318737896,35944.40798978973,36273.25404465914,36605.10862669176,36939.99926012139,37277.95372099386,37619.000039470855,37963.16650215473,38310.48165443461,38660.974302853974,39014.67351749988,39371.6086344141,39731.80925802617,40095.305263608934,40462.1267997563,40832.30429088385,41205.868439752245,41582.85023001373,41963.28092878194,42347.19208922521,42734.61555318361,43125.58345380996,43520.12821823494,43918.282570256604,44320.07953305457,44725.55243192895,45134.734897064336,45547.6608663192,45964.36458804062,46384.88062390494,46809.24385178429,47237.489468639396,47669.652993438845
"COLLETON",38747.02100534,39101.50743892287,39459.23697683566,39820.23928939775,40184.544318374545,40552.18227946089,40923.18366478719,41297.57924544842,41675.400074056306,42056.67748731487,42441.44310861949,42829.72885067979,43221.56691816648,43616.989810382445,44016.03032395823,44418.72155557226,44825.09690469587,45235.190076363506,45649.03508396817,46066.666252082614,46488.11821930617,46913.42594113772,47342.62469287494,47775.75007254003,48212.83800383227,48653.92473910752,49099.04686238503,49548.241292381754,50001.54528557439,50458.996439289476,50920.63269482172,51386.49234058088,51856.614015267434,52331.03671107731,52809.799776935906,53292.9429217617,53780.50621775978,54272.53010374542,54769.05538849812,55270.12325414632,55775.775259583,56286.05334391274,56800.99982993004,57320.65742762969,57845.069237749114,58374.278755343184,58908.32987339176,59447.26688644017,59991.134494273,60539.97780562161
"DARLINGTON",61918.2629579,62484.73706713712,63056.39370090104,63633.28027276288,64215.44463006823,64802.9350579056,65395.800283111246,65994.0894783106,66597.85226599667,67207.13872264577,67821.99938287087,68442.48524361305,69068.64776837107,69700.53889146997,70338.2110223684,70981.7170500055,71631.11034718767,72286.4447750152,72947.77468734958,73615.15493532171,74288.64087188122,74968.2883563875,75654.15375924272,76346.29396656725,77044.76638491775,77749.62894604859,78460.94011171671,79178.7588785305,79903.14478284298,80634.1579056898,81371.85887777245,82116.30888448688,82867.56967099842,83625.70354736282,84390.77339369443,85162.84266538134,85941.97539834859,86728.2362143692,87521.69032642408,88322.40354411074,89130.44227910158,89945.87355065218,90768.76499115987,91599.18485177321,92437.20200805287,93282.88596568402,94136.30686624139,94997.53549300671,95866.6432768396,96743.70230210206
"DILLON",27762.16302737,28016.15184779473,28272.464345983222,28531.121780659945,28792.145605039907,29055.557468608007,29321.379218914677,29589.6329033879,29860.340771161857,30133.52527492227,30409.209072768666,30687.41503009364,30968.166221479318,31251.485932611195,31537.39766220944,31825.92512397793,32117.092248571054,32410.923185578544,32707.44230552845,33006.67420190846,33308.643693205704,33613.375824965195,33920.89587186712,34231.22933982319,34544.401968092054,34860.43973141415,35179.36884216608,35501.21575253467,35826.00715671094,36153.76999310413,36484.53144657598,36818.31895069549,37155.16019001424,37495.083102362594,37838.11588116689,38184.28697778774,38533.62510387994,38886.15923377372,39241.91860687794,39600.932730105225,39963.23138031927,40328.844606804574,40697.802733758734,41070.13636280755,41445.876375543165,41825.05393608537,42207.700493666416,42593.847785239406,42983.52783811057,43376.77297259566
"DORCHESTER",163631.6501668,165128.67364328646,166639.3929988212,168163.93353344512,169702.42169353674,171254.9850822996,172821.75247034588,174402.85380637663,175998.42022795975,177608.58407240675,179233.47888774888,180873.23944381363,182528.00174340254,184197.90303357164,185883.08181701446,187583.67786354988,189299.83222171437,191031.68723046107,192779.38653096498,194543.0750785371,196322.89915464688,198119.00637905486,199931.54572205653,201760.66751683794,203606.52347194444,205469.2666838633,207349.051649722,209246.034280102,211160.37191197026,213092.22332172864,215041.74873838335,217009.10985683388,218994.46985128452,220997.99338877798,223019.84664285296,225060.19730732666,227119.21461020358,229197.06932771116,231293.93379846434,233409.98193775924,235545.38925199778,237700.33285324447,239874.99147391607,242069.5454816058,244284.17689404328,246519.06939419085,248774.40834547873,251050.38080717903,253347.17554992044,255664.98307134528
"EDGEFIELD",25428.55737019,25661.196638433965,25895.96426293272,26132.879715464962,26371.962645951633,26613.23288408569,26856.71044097683,27102.415510811166,27350.368472526192,27600.589891501004,27853.10052126201,28107.921305204254,28365.07337832844,28624.57806899393,28886.456900687688,29150.73159380948,29417.42406747337,29686.55644132571,29958.15103737973,30232.230381866986,30508.81720710567,30787.934453386046,31069.60527087314,31353.85302152683,31640.701281039495,31930.173840791398,32222.294709823964,32517.088116831103,32814.578512168766,33114.79056988284,33417.74918975567,33723.47949937123,34032.00685619924,34343.35684969832,34657.555303438436,34974.62827724263,35294.60206934854,35617.50321858955,35943.35850659592,36272.19496001611,36604.03985275835,36938.920708252794,37276.865301734295,37617.901662546115,37962.05807646473,38309.3630880458,38659.84550299173,39013.53439054083,39370.45908587829,39730.649192569326
"FAIRFIELD",20459.16388409,20646.33946175206,20835.227460169514,21025.843545835178,21218.203528570553,21412.32336283708,21608.219149059434,21805.907134960893,22005.403716910925,22206.725441285136,22409.889005837624,22614.911261085905,22821.809211708493,23030.600017955305,23241.30099707092,23453.929624730892,23668.503536491193,23885.04052925092,24103.55856272837,24324.075760950647,24546.610413756873,24771.18097831515,24997.806080653427,25226.504517204346,25457.29525636423,25690.19744006632,25925.230385368453,26162.413586055205,26401.76671425473,26643.30962207035,26887.062343227164,27133.04509473359,27381.27827855821,27631.782483321935,27884.578486005612,28139.68725367328,28397.129945211218,28656.927913082858,28919.102705099773,29183.676066208867,29450.669940295917,29720.106472005613,29992.008008578254,30266.397101703224,30543.29650938948,30822.729197853074,31104.718343422006,31389.287334458495,31676.459773298797,31966.259478210828
