"County","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070"
"CHESTERFIELD",42678.360324,42098.7206484,41519.0809725,40939.44129653,40359.80162103,39756.70776785,39153.61391486,38550.52006158,37947.426208389996,37344.33235531,36728.65018041,36112.9680054,35497.2858308,34881.6036559,34265.92148109,33664.96828405,33064.0150865,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915,32463.06188915
"CLARENDON",30509.7080112,29926.41602281,29343.12403391,28759.83204551,28176.54005672,27591.894613290002,27007.24917027,26422.603727,25837.95828363,25253.31284037,24672.83847999,24092.36411952,23511.88975893,22931.41539889,22350.94103852,21787.50572831,21224.07041842,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851,20660.63510851
"COLLETON",38747.02100534,38951.04201058,39155.06301582,39359.08402116,39563.1050266,39735.36581629,39907.62660612,40079.887396160004,40252.1481861,40424.408975930004,40563.288358469996,40702.16774142,40841.047124360004,40979.9265069,41118.805889740004,41242.38551474,41365.9651397,41489.5447645,41650.86969150941,41812.19461851883,41973.51954552824,42134.84447253765,42296.16939954706,42457.49432655647,42618.81925356588,42780.1441805753,42941.46910758471,43102.79403459412,43264.11896160353,43425.44388861294,43586.76881562236,43748.09374263177,43909.41866964118,44070.743596650595,44232.068523660004,44393.39345066941,44554.71837767883,44716.04330468824,44877.36823169765,45038.693158707065,45200.018085716474,45361.34301272588,45522.6679397353,45683.99286674471,45845.31779375412,46006.642720763535,46167.967647772944,46329.29257478236,46490.61750179177,46651.94242880118
"DARLINGTON",61918.2629579,61003.5259159,60088.788873800004,59174.051832,58259.31479,57339.0708271,56418.8268641,55498.582901,54578.3389381,53658.0949749,52748.4924925,51838.8900102,50929.2875279,50019.6850454,49110.0825628,48244.929327800004,47379.7760921,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567,46514.6228567
"DILLON",27762.16302737,27240.32605463,26718.4890821,26196.65210956,25674.81513673,25174.44879642,24674.08245591,24173.7161157,23673.3497753,23172.98343459,22703.86932333,22234.75521138,21765.64109943,21296.52698786,20827.41287611,20390.71776912,19954.02266222,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504,19517.32755504
"DORCHESTER",163631.6501668,165288.3003316,166944.9504976,168601.6006624,170258.2508302,171718.1368859,173178.0229394,174637.9089982,176097.7950542,177557.6811107,178775.0110368,179992.3409619,181209.6708869,182427.000812,183644.330738,184651.946567,185659.5623953,186667.17822190002,188022.2092839647,189377.24034602943,190732.27140809412,192087.30247015884,193442.33353222354,194797.36459428826,196152.39565635295,197507.42671841767,198862.45778048236,200217.48884254709,201572.51990461178,202927.5509666765,204282.5820287412,205637.61309080588,206992.6441528706,208347.67521493533,209702.70627700002,211057.7373390647,212412.76840112943,213767.79946319413,215122.83052525885,216477.86158732354,217832.89264938826,219187.92371145295,220542.95477351767,221897.98583558237,223253.0168976471,224608.04795971178,225963.0790217765,227318.1100838412,228673.1411459059,230028.1722079706
"EDGEFIELD",25428.55737019,25182.11473969,24935.67210975,24689.22947953,24442.78684952,24174.59747303,23906.40809692,23638.21872073,23370.02934424,23101.83996805,22813.57715928,22525.3143508,22237.05154223,21948.78873386,21660.52592506,21367.20080633,21073.87568741,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868,20780.55056868
"FAIRFIELD",20459.16388409,20060.32776857,19661.49165258,19262.65553694,18863.81942099,18454.74844267,18045.677464200002,17636.60648578,17227.53550736,16818.46452899,16405.4445514,15992.42457354,15579.40459591,15166.38461827,14753.36464062,14353.15808463,13952.95152873,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263,13552.74497263
"FLORENCE",136294.0701061,135783.1402119,135272.2103181,134761.2804239,134250.35053,133592.1699987,132933.9894676,132275.8089362,131617.6284051,130959.4478739,130176.2011631,129392.9544518,128609.7077409,127826.4610298,127043.2143188,126172.9270739,125302.6398287,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835,124432.3525835
"GEORGETOWN",63748.464738,64056.9294757,64365.3942138,64673.8589515,64982.3236896,65130.6278178,65278.9319463,65427.2360747,65575.5402032,65723.8443315,65675.214945,65626.5855583,65577.956172,65529.3267852,65480.6973985,65267.0750748,65053.4527511,64839.8304275,64904.02840923529,64968.22639097059,65032.42437270588,65096.62235444117,65160.82033617647,65225.01831791176,65289.21629964705,65353.41428138235,65417.61226311764,65481.81024485294,65546.00822658822,65610.20620832352,65674.40419005882,65738.6021717941,65802.8001535294,65866.9981352647,65931.19611699998,65995.39409873528,66059.59208047058,66123.79006220588,66187.98804394116,66252.18602567646,66316.38400741176,66380.58198914705,66444.77997088234,66508.97795261764,66573.17593435293,66637.37391608823,66701.57189782352,66765.76987955881,66829.9678612941,66894.1658430294
